InstrumentID: P9710-521 V5.6 SN:1875 @ COM5
DetectorID:   

   0 0x000 -> 255 0xFF 'ÿ'
   1 0x001 -> 255 0xFF 'ÿ'
   2 0x002 -> 255 0xFF 'ÿ'
   3 0x003 -> 255 0xFF 'ÿ'
   4 0x004 -> 255 0xFF 'ÿ'
   5 0x005 -> 255 0xFF 'ÿ'
   6 0x006 -> 255 0xFF 'ÿ'
   7 0x007 -> 255 0xFF 'ÿ'
   8 0x008 -> 255 0xFF 'ÿ'
   9 0x009 -> 255 0xFF 'ÿ'
  10 0x00A -> 255 0xFF 'ÿ'
  11 0x00B -> 255 0xFF 'ÿ'
  12 0x00C -> 255 0xFF 'ÿ'
  13 0x00D -> 255 0xFF 'ÿ'
  14 0x00E -> 255 0xFF 'ÿ'
  15 0x00F -> 255 0xFF 'ÿ'
  16 0x010 -> 255 0xFF 'ÿ'
  17 0x011 -> 255 0xFF 'ÿ'
  18 0x012 -> 255 0xFF 'ÿ'
  19 0x013 -> 255 0xFF 'ÿ'
  20 0x014 -> 255 0xFF 'ÿ'
  21 0x015 -> 255 0xFF 'ÿ'
  22 0x016 -> 255 0xFF 'ÿ'
  23 0x017 -> 255 0xFF 'ÿ'
  24 0x018 -> 255 0xFF 'ÿ'
  25 0x019 -> 255 0xFF 'ÿ'
  26 0x01A -> 255 0xFF 'ÿ'
  27 0x01B -> 255 0xFF 'ÿ'
  28 0x01C -> 255 0xFF 'ÿ'
  29 0x01D -> 255 0xFF 'ÿ'
  30 0x01E -> 255 0xFF 'ÿ'
  31 0x01F -> 255 0xFF 'ÿ'
  32 0x020 -> 255 0xFF 'ÿ'
  33 0x021 -> 255 0xFF 'ÿ'
  34 0x022 -> 255 0xFF 'ÿ'
  35 0x023 -> 255 0xFF 'ÿ'
  36 0x024 -> 255 0xFF 'ÿ'
  37 0x025 -> 255 0xFF 'ÿ'
  38 0x026 -> 255 0xFF 'ÿ'
  39 0x027 -> 255 0xFF 'ÿ'
  40 0x028 -> 255 0xFF 'ÿ'
  41 0x029 -> 255 0xFF 'ÿ'
  42 0x02A -> 255 0xFF 'ÿ'
  43 0x02B -> 255 0xFF 'ÿ'
  44 0x02C -> 255 0xFF 'ÿ'
  45 0x02D -> 255 0xFF 'ÿ'
  46 0x02E -> 255 0xFF 'ÿ'
  47 0x02F -> 255 0xFF 'ÿ'
  48 0x030 -> 255 0xFF 'ÿ'
  49 0x031 -> 255 0xFF 'ÿ'
  50 0x032 -> 255 0xFF 'ÿ'
  51 0x033 -> 255 0xFF 'ÿ'
  52 0x034 -> 255 0xFF 'ÿ'
  53 0x035 -> 255 0xFF 'ÿ'
  54 0x036 -> 255 0xFF 'ÿ'
  55 0x037 -> 255 0xFF 'ÿ'
  56 0x038 -> 255 0xFF 'ÿ'
  57 0x039 -> 255 0xFF 'ÿ'
  58 0x03A -> 255 0xFF 'ÿ'
  59 0x03B -> 255 0xFF 'ÿ'
  60 0x03C -> 255 0xFF 'ÿ'
  61 0x03D -> 255 0xFF 'ÿ'
  62 0x03E -> 255 0xFF 'ÿ'
  63 0x03F -> 255 0xFF 'ÿ'
  64 0x040 -> 255 0xFF 'ÿ'
  65 0x041 -> 255 0xFF 'ÿ'
  66 0x042 -> 255 0xFF 'ÿ'
  67 0x043 -> 255 0xFF 'ÿ'
  68 0x044 -> 255 0xFF 'ÿ'
  69 0x045 -> 255 0xFF 'ÿ'
  70 0x046 -> 255 0xFF 'ÿ'
  71 0x047 -> 255 0xFF 'ÿ'
  72 0x048 -> 255 0xFF 'ÿ'
  73 0x049 -> 255 0xFF 'ÿ'
  74 0x04A -> 255 0xFF 'ÿ'
  75 0x04B -> 255 0xFF 'ÿ'
  76 0x04C -> 255 0xFF 'ÿ'
  77 0x04D -> 255 0xFF 'ÿ'
  78 0x04E -> 255 0xFF 'ÿ'
  79 0x04F -> 255 0xFF 'ÿ'
  80 0x050 -> 255 0xFF 'ÿ'
  81 0x051 -> 255 0xFF 'ÿ'
  82 0x052 -> 255 0xFF 'ÿ'
  83 0x053 -> 255 0xFF 'ÿ'
  84 0x054 -> 255 0xFF 'ÿ'
  85 0x055 -> 255 0xFF 'ÿ'
  86 0x056 -> 255 0xFF 'ÿ'
  87 0x057 -> 255 0xFF 'ÿ'
  88 0x058 -> 255 0xFF 'ÿ'
  89 0x059 -> 255 0xFF 'ÿ'
  90 0x05A -> 255 0xFF 'ÿ'
  91 0x05B -> 255 0xFF 'ÿ'
  92 0x05C -> 255 0xFF 'ÿ'
  93 0x05D -> 255 0xFF 'ÿ'
  94 0x05E -> 255 0xFF 'ÿ'
  95 0x05F -> 255 0xFF 'ÿ'
  96 0x060 -> 255 0xFF 'ÿ'
  97 0x061 -> 255 0xFF 'ÿ'
  98 0x062 -> 255 0xFF 'ÿ'
  99 0x063 -> 255 0xFF 'ÿ'
 100 0x064 -> 255 0xFF 'ÿ'
 101 0x065 -> 255 0xFF 'ÿ'
 102 0x066 -> 255 0xFF 'ÿ'
 103 0x067 -> 255 0xFF 'ÿ'
 104 0x068 -> 255 0xFF 'ÿ'
 105 0x069 -> 255 0xFF 'ÿ'
 106 0x06A -> 255 0xFF 'ÿ'
 107 0x06B -> 255 0xFF 'ÿ'
 108 0x06C -> 255 0xFF 'ÿ'
 109 0x06D -> 255 0xFF 'ÿ'
 110 0x06E -> 255 0xFF 'ÿ'
 111 0x06F -> 255 0xFF 'ÿ'
 112 0x070 -> 255 0xFF 'ÿ'
 113 0x071 -> 255 0xFF 'ÿ'
 114 0x072 -> 255 0xFF 'ÿ'
 115 0x073 -> 255 0xFF 'ÿ'
 116 0x074 -> 255 0xFF 'ÿ'
 117 0x075 -> 255 0xFF 'ÿ'
 118 0x076 -> 255 0xFF 'ÿ'
 119 0x077 -> 255 0xFF 'ÿ'
 120 0x078 -> 255 0xFF 'ÿ'
 121 0x079 -> 255 0xFF 'ÿ'
 122 0x07A -> 255 0xFF 'ÿ'
 123 0x07B -> 255 0xFF 'ÿ'
 124 0x07C -> 255 0xFF 'ÿ'
 125 0x07D -> 255 0xFF 'ÿ'
 126 0x07E -> 255 0xFF 'ÿ'
 127 0x07F -> 255 0xFF 'ÿ'
 128 0x080 -> 255 0xFF 'ÿ'
 129 0x081 -> 255 0xFF 'ÿ'
 130 0x082 -> 255 0xFF 'ÿ'
 131 0x083 -> 255 0xFF 'ÿ'
 132 0x084 -> 255 0xFF 'ÿ'
 133 0x085 -> 255 0xFF 'ÿ'
 134 0x086 -> 255 0xFF 'ÿ'
 135 0x087 -> 255 0xFF 'ÿ'
 136 0x088 -> 255 0xFF 'ÿ'
 137 0x089 -> 255 0xFF 'ÿ'
 138 0x08A -> 255 0xFF 'ÿ'
 139 0x08B -> 255 0xFF 'ÿ'
 140 0x08C -> 255 0xFF 'ÿ'
 141 0x08D -> 255 0xFF 'ÿ'
 142 0x08E -> 255 0xFF 'ÿ'
 143 0x08F -> 255 0xFF 'ÿ'
 144 0x090 -> 255 0xFF 'ÿ'
 145 0x091 -> 255 0xFF 'ÿ'
 146 0x092 -> 255 0xFF 'ÿ'
 147 0x093 -> 255 0xFF 'ÿ'
 148 0x094 -> 255 0xFF 'ÿ'
 149 0x095 -> 255 0xFF 'ÿ'
 150 0x096 -> 255 0xFF 'ÿ'
 151 0x097 -> 255 0xFF 'ÿ'
 152 0x098 -> 255 0xFF 'ÿ'
 153 0x099 -> 255 0xFF 'ÿ'
 154 0x09A -> 255 0xFF 'ÿ'
 155 0x09B -> 255 0xFF 'ÿ'
 156 0x09C -> 255 0xFF 'ÿ'
 157 0x09D -> 255 0xFF 'ÿ'
 158 0x09E -> 255 0xFF 'ÿ'
 159 0x09F -> 255 0xFF 'ÿ'
 160 0x0A0 -> 255 0xFF 'ÿ'
 161 0x0A1 -> 255 0xFF 'ÿ'
 162 0x0A2 -> 255 0xFF 'ÿ'
 163 0x0A3 -> 255 0xFF 'ÿ'
 164 0x0A4 -> 255 0xFF 'ÿ'
 165 0x0A5 -> 255 0xFF 'ÿ'
 166 0x0A6 -> 255 0xFF 'ÿ'
 167 0x0A7 -> 255 0xFF 'ÿ'
 168 0x0A8 -> 255 0xFF 'ÿ'
 169 0x0A9 -> 255 0xFF 'ÿ'
 170 0x0AA -> 255 0xFF 'ÿ'
 171 0x0AB -> 255 0xFF 'ÿ'
 172 0x0AC -> 255 0xFF 'ÿ'
 173 0x0AD -> 255 0xFF 'ÿ'
